CPF;Questões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
246.492.996-63;B;B;D;A;C;A;A;D;E;B;E;B;B;A;D;B;B;D;D;E;A;A;C;C;E;D;B;C;D;C;D;E;D;B;A;B;B;E;A;A;B;D;B;E;D;B;B;D;B;C;A;C;A;D;D;E;D;D;A;B
1084.343.435-85;C;E;D;D;D;B;B;D;D;E;A;C;C;D;A;C;E;A;E;B;A;A;C;A;A;E;C;A;B;E;B;A;A;C;D;E;D;E;D;E;B;C;B;B;D;B;D;A;A;D;B;B;B;E;E;D;B;B;D;E
528.483.305-23;C;E;D;D;E;E;B;A;B;B;A;C;E;B;D;C;A;E;A;D;D;B;C;A;C;B;E;B;B;D;E;A;E;E;B;B;D;C;D;C;B;D;D;C;E;A;A;B;E;A;B;E;E;E;A;C;E;B;A;E
695.292.474-41;C;A;D;D;A;A;B;A;C;D;C;E;A;C;E;A;D;E;E;D;B;B;C;E;B;C;C;A;E;C;E;C;A;E;E;B;A;D;D;B;C;E;A;B;A;B;E;E;D;D;A;A;C;C;C;B;C;C;E;D
303.876.908-33;C;D;B;E;E;C;B;A;D;E;A;A;A;C;A;A;A;C;E;D;A;B;A;E;A;C;D;B;C;E;C;B;D;C;E;D;E;D;D;C;A;E;C;E;A;C;A;D;E;E;C;E;A;A;E;D;E;B;D;E
245.6310.333-53;D;B;B;A;D;B;A;B;B;B;A;A;C;D;E;B;E;D;E;B;B;E;D;B;C;C;C;A;D;C;D;A;D;E;B;E;E;E;E;E;B;C;A;E;B;E;C;D;E;B;C;A;C;E;D;C;D;A;E;E
827.669.9105-64;A;B;A;E;E;E;E;E;D;A;B;A;A;A;E;A;E;D;E;B;E;E;D;B;E;B;E;A;B;B;A;D;E;C;A;A;A;C;A;A;B;A;B;E;D;C;E;D;A;B;C;A;E;C;B;B;A;E;A;C
387.109.233-210;E;D;E;B;E;C;D;B;E;A;A;E;D;B;B;C;E;D;B;A;A;A;B;A;D;A;C;D;D;D;A;A;B;A;A;B;C;C;E;A;C;B;B;E;E;E;C;E;D;B;C;B;A;E;D;A;B;A;D;C
863.637.999-92;C;E;D;D;A;D;E;C;E;B;E;D;C;A;B;D;E;D;B;B;C;B;B;C;D;E;E;A;A;B;A;D;C;B;E;B;E;B;C;A;B;D;C;A;A;E;B;C;A;C;D;C;E;E;A;A;C;C;E;B
688.118.5310-44;D;B;B;B;A;C;D;B;C;E;B;E;B;D;A;A;C;B;E;D;A;D;D;C;E;C;E;C;B;E;A;A;D;C;E;E;E;A;C;C;C;A;B;D;E;E;D;C;D;B;D;C;C;A;E;B;A;D;C;B
581.472.950-76;C;E;B;A;B;A;D;A;B;B;D;A;D;D;A;D;A;D;D;A;E;A;A;B;A;A;D;B;D;E;B;B;A;E;D;B;B;C;D;A;A;B;D;C;D;E;E;E;C;B;B;B;B;B;C;C;A;D;C;C
945.925.773-51;E;A;A;A;A;A;D;E;A;B;B;D;D;D;D;B;B;B;E;B;E;D;D;B;B;D;D;E;A;E;D;C;B;E;A;D;C;B;E;D;B;A;D;C;C;C;A;A;B;D;E;A;E;D;D;C;B;C;A;E
916.629.522-43;E;C;D;A;D;B;C;A;D;E;E;E;B;D;D;D;C;C;C;A;A;D;C;A;A;E;D;B;B;D;D;C;C;A;D;D;B;D;C;B;B;D;E;A;C;D;C;C;B;B;A;E;A;A;C;A;D;A;E;C
262.513.684-16;A;C;A;C;E;D;D;C;C;E;B;A;E;B;E;B;B;A;A;A;A;A;A;C;A;A;D;C;C;B;E;A;B;E;C;A;B;C;C;A;C;B;D;A;A;D;C;C;E;E;A;C;A;E;A;A;D;C;C;A
350.472.138-210;E;A;B;A;C;A;C;C;B;E;D;D;A;B;E;C;A;A;B;D;C;C;B;B;A;D;E;D;C;E;E;E;D;A;A;C;E;E;A;A;B;E;A;B;A;D;B;C;A;A;D;E;E;D;E;C;E;B;D;A
223.473.799-75;E;A;A;E;A;B;B;D;B;A;D;D;C;A;D;E;B;D;B;D;E;E;C;C;C;A;D;E;A;B;A;D;B;B;E;B;D;B;D;C;D;B;B;B;D;A;C;B;D;C;D;A;A;A;B;E;C;A;C;A
973.700.662-92;B;D;C;E;A;C;E;C;C;C;C;D;C;C;B;A;B;A;E;C;A;E;C;E;D;D;C;B;C;B;C;B;C;E;E;D;D;A;C;E;C;D;B;B;B;A;C;D;A;C;B;A;D;C;B;B;E;C;D;A
836.932.223-98;D;E;A;C;D;D;D;D;A;D;B;D;E;E;B;A;E;D;E;B;B;C;C;B;C;B;C;C;E;C;A;A;C;A;D;A;B;C;E;B;D;E;B;C;C;C;D;E;D;B;B;D;D;D;E;D;B;E;B;C
772.073.790-00;C;B;C;C;E;E;E;A;C;C;C;A;D;E;E;E;E;A;A;A;D;B;E;B;D;C;E;B;B;D;D;B;B;B;D;B;C;D;E;C;C;E;E;B;A;A;C;A;B;B;D;C;D;A;B;B;B;E;D;E
966.187.877-17;C;A;C;B;B;D;A;D;C;D;D;B;D;C;D;E;A;C;D;A;A;B;E;B;E;E;B;E;A;D;C;C;D;E;E;A;C;C;C;D;B;B;C;E;D;B;A;E;C;A;A;E;B;C;B;E;D;C;D;D
143.626.132-16;E;D;C;A;A;B;A;B;E;B;C;B;B;D;E;E;B;C;D;E;A;E;D;C;E;C;C;E;D;A;C;D;E;B;D;C;A;E;B;E;D;A;A;B;E;E;D;C;C;A;B;E;A;B;A;C;A;C;D;A
840.1045.610-73;D;B;C;A;D;D;B;B;E;E;E;A;D;A;E;A;E;E;C;B;C;D;C;D;E;C;A;E;D;A;E;A;A;B;C;A;A;C;E;A;A;C;B;B;D;B;E;C;C;B;C;C;B;B;C;A;B;D;E;A
010.715.382-38;D;C;A;E;B;B;A;C;E;D;B;C;B;D;C;D;C;E;B;B;E;C;A;E;E;E;A;A;B;D;E;C;C;E;E;E;A;B;E;C;A;B;C;C;E;B;D;D;E;B;B;B;D;E;C;C;D;C;D;D
954.023.248-72;A;A;C;B;D;C;D;C;C;C;A;C;E;A;A;E;A;C;C;A;A;B;C;E;A;C;A;C;D;B;D;E;B;B;B;C;A;D;E;E;D;C;A;D;A;C;D;B;B;B;B;B;B;B;C;A;A;C;C;D
10710.692.242-23;A;C;C;C;A;B;C;D;A;D;C;A;B;B;E;E;E;B;E;E;E;D;C;B;E;A;A;B;A;D;A;B;A;A;C;D;D;C;A;A;C;A;D;D;D;B;B;D;D;B;B;D;B;A;B;C;E;B;E;B
357.811.264-73;C;E;B;C;B;B;E;D;D;B;E;A;E;D;C;A;C;A;E;E;E;D;D;D;B;C;A;D;E;B;D;B;E;B;E;B;E;B;A;B;B;A;C;E;A;C;E;D;A;A;C;D;B;B;C;B;B;D;A;C
559.810.261-75;D;E;D;B;D;D;D;A;C;B;E;A;C;D;E;C;E;A;D;D;E;C;D;E;D;D;E;D;E;C;E;C;D;E;B;B;A;C;A;A;B;B;A;E;A;C;E;B;D;C;E;A;A;B;E;A;E;D;E;B
371.934.306-03;E;E;B;E;A;E;C;D;D;C;E;B;E;E;E;B;A;C;C;B;A;D;A;E;B;A;A;E;D;C;A;C;A;E;D;C;A;E;A;C;C;D;B;D;C;D;B;A;E;D;E;D;E;A;D;D;C;C;C;C
158.123.1023-65;C;C;B;C;A;B;A;B;A;B;B;B;C;D;D;C;C;D;B;C;C;E;A;B;B;D;B;E;E;A;B;A;C;E;A;E;E;D;A;E;A;B;D;E;D;B;C;C;D;E;C;B;A;A;A;E;B;B;D;B
954.485.258-27;A;E;B;C;D;D;E;C;D;A;B;C;D;E;C;D;A;A;A;A;A;C;E;E;B;E;A;E;C;A;D;A;C;E;B;A;C;E;A;A;E;B;A;E;A;A;C;D;A;C;E;A;B;E;E;C;A;D;C;A
1082.967.952-23;C;A;A;D;A;B;B;C;C;D;A;E;C;B;B;B;B;D;E;A;E;B;D;E;A;A;A;D;D;C;E;A;A;A;B;D;D;D;B;B;C;C;A;C;C;E;D;D;A;B;B;E;E;E;E;D;C;C;D;A
717.871.192-13;A;A;A;A;D;B;A;C;E;C;C;C;B;D;E;C;C;D;B;A;A;A;E;A;B;B;D;D;C;B;D;C;E;C;C;D;D;E;C;A;C;D;C;D;D;E;A;E;C;C;A;D;B;A;E;C;D;D;E;A
524.1062.153-27;D;A;C;A;C;A;B;A;A;E;D;E;C;A;E;A;E;E;E;B;B;E;C;D;A;B;D;A;C;D;A;D;B;B;A;A;C;D;A;C;B;B;D;A;A;E;C;A;C;A;E;A;E;C;C;B;D;B;C;E
374.281.953-87;E;E;B;A;E;C;E;B;E;B;C;A;D;A;D;B;E;C;B;B;B;C;E;D;C;C;E;B;C;D;B;E;B;B;A;D;A;B;D;C;D;A;D;D;A;A;B;A;E;E;D;A;A;B;C;B;B;D;A;C
835.8010.389-38;A;A;B;B;E;C;A;A;A;C;B;E;D;A;D;E;E;B;E;C;D;A;E;C;C;D;C;D;A;D;C;C;A;E;B;D;C;D;C;C;C;A;C;B;E;B;C;D;C;A;A;C;A;A;A;D;B;B;D;C
284.278.846-46;C;E;A;D;B;D;E;C;A;E;C;D;C;C;B;E;E;A;B;E;C;E;E;C;A;B;A;E;C;E;B;B;B;D;D;E;C;D;B;A;E;C;A;C;D;E;C;C;B;A;A;D;D;E;D;D;A;E;A;D
159.1009.987-32;B;E;D;E;D;D;E;E;B;D;B;C;D;C;C;A;A;C;B;A;C;C;C;A;C;E;A;B;A;E;A;A;A;E;A;E;D;D;D;C;B;A;E;C;A;D;A;D;B;C;E;D;A;E;E;E;A;B;E;D
950.912.141-81;D;A;D;C;D;E;C;B;D;C;A;D;D;D;A;C;C;A;B;D;C;B;B;A;D;A;A;A;E;B;C;B;A;C;D;B;C;C;E;D;C;D;D;E;D;E;A;B;B;A;B;A;C;D;C;B;D;C;C;D
142.101.996-84;E;D;E;C;C;B;C;E;D;D;D;B;C;D;A;D;B;E;A;C;E;E;E;D;D;D;E;A;B;E;B;E;B;D;A;D;A;A;E;A;E;B;A;B;D;E;D;B;B;D;E;B;C;E;B;C;E;C;D;C
945.261.932-17;A;D;D;A;D;D;E;C;E;B;C;A;E;A;A;B;C;E;D;B;E;C;B;A;D;A;D;A;B;E;D;E;D;E;D;C;D;B;A;D;A;C;B;B;A;B;C;E;C;D;D;A;E;C;B;C;B;D;A;A
569.2110.227-55;E;E;A;A;D;A;C;B;A;E;C;B;A;E;B;B;B;A;A;D;E;D;E;D;B;D;E;E;B;B;B;E;D;E;A;B;A;A;B;B;B;D;E;B;A;D;D;E;D;C;A;E;B;A;A;E;B;A;E;A
618.426.542-210;D;E;C;C;A;D;A;E;C;B;B;D;E;B;C;A;D;E;B;B;E;E;B;A;C;E;E;A;B;A;C;B;B;A;B;E;E;C;A;D;B;A;E;C;A;B;C;B;E;B;B;E;E;C;B;A;B;E;C;B
371.629.499-81;E;E;C;C;D;A;D;D;D;D;D;D;A;C;D;A;A;A;A;B;E;D;C;A;A;E;B;D;B;D;D;A;C;A;C;B;A;B;A;C;D;A;C;C;D;B;B;C;D;A;D;B;E;C;C;E;E;E;C;A
225.1057.355-73;A;A;D;A;E;A;E;A;B;E;B;D;A;D;D;B;D;C;C;B;A;B;C;B;E;E;C;E;A;A;B;C;C;A;A;B;B;B;A;B;C;B;D;A;A;A;E;A;B;C;A;E;B;E;B;B;B;E;D;A
491.541.870-31;D;B;B;A;C;A;E;C;C;E;B;B;D;D;A;E;B;D;C;B;A;D;A;C;A;E;A;A;C;C;E;A;D;A;D;E;B;A;B;D;A;A;C;B;E;E;A;D;D;E;B;E;B;B;A;D;E;B;A;A
693.834.533-22;B;A;A;C;B;A;B;E;A;C;D;C;D;D;B;C;A;B;D;C;E;A;E;D;E;B;B;E;B;C;C;D;B;D;B;B;B;B;A;A;E;D;C;C;A;C;B;E;A;D;E;A;E;D;D;A;E;E;C;D
256.860.1057-23;D;B;C;B;D;A;E;D;C;B;E;A;A;B;A;C;A;A;A;B;A;D;D;B;E;E;B;D;D;C;E;B;A;B;E;C;A;D;B;B;C;A;E;C;B;A;A;C;A;D;C;C;E;A;B;D;E;B;A;C
727.526.1910-16;E;C;C;D;B;B;E;E;A;C;A;D;A;A;A;B;C;E;E;B;D;D;D;A;E;D;D;B;B;E;C;C;B;E;C;B;D;D;A;A;A;C;E;B;B;E;A;E;D;E;E;D;B;E;A;E;C;B;E;C
996.133.646-85;C;E;E;E;B;E;A;E;B;E;C;B;C;A;E;E;D;C;E;D;A;A;C;B;C;C;D;C;C;E;E;D;A;D;D;A;B;B;D;A;D;D;C;A;B;D;E;B;B;C;B;D;B;B;E;A;C;E;B;C
851.492.384-40;D;A;E;B;C;D;A;C;C;B;E;C;D;D;B;B;D;B;A;C;C;C;B;E;A;D;D;A;B;C;A;A;A;B;E;B;C;B;A;B;B;C;D;D;A;B;E;C;E;B;E;B;A;B;A;D;E;D;A;D
451.349.9105-310;D;D;C;D;D;B;C;A;C;D;E;A;B;E;C;E;C;A;B;D;A;C;B;E;E;C;A;D;E;A;A;E;E;A;E;D;A;D;A;E;D;C;D;A;B;C;A;A;C;D;E;A;C;E;C;A;C;E;C;C
638.1109.7310-53;E;E;B;B;C;A;D;A;E;D;A;E;A;A;E;A;D;E;A;E;A;D;A;B;B;E;C;A;B;D;E;E;B;A;A;D;D;C;E;C;B;E;E;B;B;C;E;D;B;A;A;C;A;A;D;A;E;A;D;B
9510.776.144-85;A;D;C;C;C;C;C;D;C;C;B;C;E;D;E;D;D;C;C;B;D;D;C;B;A;D;D;B;D;C;A;C;A;A;B;E;B;A;D;A;A;C;D;E;D;C;D;E;D;B;E;D;E;E;E;E;C;A;D;C
373.232.366-69;C;C;C;B;A;A;D;A;A;A;A;E;B;D;D;B;E;A;D;D;B;D;E;A;A;D;D;C;D;A;B;B;A;B;E;D;E;B;B;D;C;E;C;D;D;E;C;C;C;E;B;C;A;D;B;A;A;A;D;D
176.521.4107-68;C;A;D;D;E;A;C;E;A;C;D;A;C;A;E;C;A;E;E;D;C;E;A;C;C;E;D;B;D;C;B;B;D;B;E;E;D;D;B;C;E;D;B;B;A;B;C;A;E;A;B;D;A;E;E;E;E;D;E;B
668.265.823-87;B;C;E;A;A;D;D;C;C;E;D;D;E;D;A;A;E;D;E;E;A;D;C;D;D;D;C;A;A;D;A;B;C;B;C;E;B;D;B;B;E;A;C;B;C;B;B;D;C;A;A;A;E;A;A;D;B;B;D;B
190.7109.476-80;D;D;A;C;E;A;C;A;C;E;E;C;A;D;D;D;D;E;E;B;E;A;E;A;B;C;A;E;A;A;C;C;D;B;C;B;B;B;A;E;A;A;A;B;B;E;A;E;D;D;A;E;E;A;A;B;B;A;D;B
426.234.993-109;D;B;B;C;A;D;E;D;B;B;A;A;A;B;E;A;D;B;D;E;C;D;C;E;C;B;A;E;D;B;A;B;C;E;A;D;E;D;B;A;C;C;D;D;E;A;C;D;A;B;B;A;A;D;A;D;A;C;B;B
165.6107.711-08;E;A;B;E;B;E;A;D;E;B;B;B;B;C;A;D;E;B;B;E;B;E;B;D;D;C;C;A;C;D;D;A;E;B;E;A;D;D;D;D;C;D;B;B;C;D;C;C;E;A;E;B;D;D;C;A;B;D;D;B
673.1033.563-34;A;E;E;C;B;B;E;C;B;B;C;D;C;A;D;B;C;B;E;C;A;B;E;D;A;E;B;B;A;D;D;C;C;D;A;A;B;A;C;C;A;C;A;E;D;A;C;A;B;C;B;D;A;C;B;C;B;B;D;A
881.737.112-19;D;A;E;D;A;A;E;C;D;E;A;C;A;C;C;C;E;B;C;A;E;A;A;C;D;A;D;B;E;D;B;D;B;E;D;C;C;E;A;E;A;E;D;C;A;D;B;E;A;C;B;C;C;C;D;C;C;B;C;C
181.950.873-16;B;E;D;C;A;C;E;E;D;D;E;C;B;A;D;C;A;C;A;C;D;A;A;E;B;C;B;A;C;C;C;E;C;D;C;B;E;A;B;B;D;D;A;E;D;E;B;D;D;C;C;A;C;E;E;E;A;D;D;B
082.9110.143-31;C;B;A;D;C;D;C;D;E;E;C;E;B;A;B;A;E;A;B;C;D;E;A;D;C;E;A;E;C;E;B;C;C;A;D;C;E;B;D;D;B;B;A;C;E;C;D;A;D;C;D;E;B;A;D;B;D;D;B;C
337.872.10410-44;D;B;B;C;B;D;B;C;A;B;E;D;B;B;E;B;D;D;C;C;A;C;A;C;D;D;A;E;E;E;C;A;E;E;E;D;D;A;A;A;C;D;D;D;B;C;B;E;C;C;A;A;A;B;D;E;C;B;A;B
675.643.640-59;A;A;D;A;E;D;C;E;D;B;D;C;A;D;C;E;D;E;E;B;C;D;C;D;D;D;D;B;C;E;B;A;D;E;C;D;D;B;C;B;D;A;E;A;E;A;C;D;C;D;B;B;B;A;D;D;A;E;D;D
1025.855.567-07;C;A;A;D;B;D;E;B;C;E;E;C;C;E;D;B;B;E;E;D;A;A;D;A;A;E;E;C;D;C;A;D;E;B;E;D;D;A;A;B;C;E;E;A;A;E;B;B;B;C;A;D;C;E;E;B;B;B;D;B
940.775.345-49;C;B;D;A;E;D;B;B;E;E;A;A;E;A;D;A;A;B;A;A;C;B;B;E;D;E;B;D;A;C;A;A;D;E;E;E;B;B;B;B;D;D;C;D;E;A;A;A;D;D;E;B;E;C;D;E;E;D;E;A
688.645.354-20;B;C;E;E;C;E;A;C;C;D;D;E;D;C;D;C;A;A;D;A;D;E;C;A;E;D;B;D;A;D;E;B;A;A;C;B;E;C;E;D;E;D;A;E;B;C;D;C;D;E;A;C;A;A;B;B;B;D;D;A
031.378.811-44;E;D;E;C;A;A;A;D;E;E;E;E;D;C;E;C;B;A;D;A;B;E;A;D;C;C;A;A;C;C;B;E;B;C;E;C;E;E;A;E;D;D;E;E;C;A;D;A;E;B;A;D;A;B;A;C;B;E;C;E
5510.4610.0102-75;D;C;B;C;C;D;D;D;D;D;A;E;D;C;B;E;D;A;D;A;A;A;E;E;D;A;D;B;A;B;B;E;A;D;E;A;B;B;C;C;B;A;E;A;E;A;E;A;E;E;A;E;E;C;E;A;D;A;B;D
646.347.668-710;A;C;B;A;D;A;B;B;D;D;D;D;E;E;D;E;E;D;B;C;B;C;D;C;E;B;B;E;B;B;B;A;E;E;B;D;D;E;A;C;E;B;B;E;D;D;D;B;D;E;C;E;A;E;C;B;E;D;C;C
2107.492.8105-22;A;B;E;B;C;D;E;D;C;B;D;C;D;A;D;D;E;E;C;E;E;B;C;E;A;B;B;B;C;A;A;E;E;B;A;C;B;B;B;D;B;B;A;E;A;E;E;A;A;B;D;E;E;B;D;C;E;E;B;B
859.566.651-72;C;D;E;B;A;C;E;D;C;B;E;C;D;D;A;E;E;C;C;E;A;B;B;E;A;C;D;C;A;E;B;D;B;D;D;E;E;A;E;B;A;A;E;C;C;A;B;A;C;A;E;B;B;B;E;A;E;B;D;A
075.835.847-48;A;B;A;A;A;B;E;A;A;D;C;A;E;E;E;B;D;A;E;B;C;C;D;E;E;D;C;D;A;C;A;E;C;E;C;B;C;D;E;C;E;E;B;B;D;B;E;D;E;D;C;A;A;A;A;A;B;E;D;C
728.6101.395-55;E;A;E;C;C;D;A;A;D;A;E;A;A;A;A;E;B;A;C;E;B;E;B;E;B;E;D;C;C;D;E;D;E;A;C;A;A;B;D;A;B;A;B;D;C;E;C;A;A;A;E;C;A;C;D;E;D;D;B;A
289.866.375-910;B;B;C;C;E;D;C;A;E;E;B;C;E;A;B;C;E;B;E;C;E;B;A;C;B;A;C;E;C;E;D;A;D;C;A;E;D;E;E;E;C;C;E;A;C;E;A;A;B;A;A;D;A;A;B;B;E;B;C;A
949.1093.645-25;C;A;D;B;A;A;D;B;E;C;E;C;C;A;B;B;B;C;D;A;E;D;B;C;E;A;A;E;A;E;E;A;B;D;C;B;D;A;A;D;E;C;C;E;A;B;C;B;D;C;A;C;C;E;C;A;C;B;B;C
984.145.383-61;A;E;C;E;D;B;E;D;D;D;E;C;E;D;D;B;C;A;A;E;B;B;A;E;A;D;D;B;E;E;E;C;C;A;C;A;A;E;E;D;A;A;B;E;E;B;E;D;C;C;A;E;C;D;D;A;E;C;E;D
554.123.055-44;E;C;B;B;A;A;C;C;D;D;E;E;B;C;A;D;A;E;C;A;D;B;E;A;B;A;B;C;E;A;D;C;D;E;A;D;D;B;A;E;C;C;B;C;A;C;A;A;E;B;A;B;D;C;C;E;D;A;D;B
7810.713.0710-710;A;B;E;D;A;A;D;D;C;E;E;C;D;C;B;D;A;E;E;C;D;B;E;A;B;A;B;E;E;B;E;D;E;A;A;D;D;A;C;D;E;C;A;E;A;E;A;C;D;A;B;B;B;B;E;B;C;D;B;B
623.185.776-79;C;D;B;D;D;C;A;D;B;A;D;B;A;D;E;A;A;E;B;A;D;D;A;C;A;D;C;A;E;C;C;B;C;B;C;B;E;C;C;B;C;C;D;E;C;A;D;D;A;A;E;C;D;C;E;A;C;E;A;B
668.743.168-55;C;A;D;A;D;C;B;B;A;C;A;D;B;B;A;C;B;D;E;B;A;C;B;D;D;D;D;A;A;B;B;A;A;C;A;D;A;C;E;B;A;E;A;C;C;B;A;E;C;B;E;A;A;B;B;E;D;A;A;D
614.0100.731-98;D;D;A;E;E;B;B;D;D;C;C;D;C;C;E;D;A;E;A;B;A;B;C;D;E;D;D;A;C;B;E;C;A;B;B;C;D;D;A;E;D;B;E;E;D;C;E;B;D;E;A;D;A;E;B;C;B;A;A;D
1025.755.3106-42;C;E;E;C;A;A;C;E;A;D;C;E;A;B;B;B;D;E;D;E;E;A;B;C;D;D;B;A;A;A;B;C;A;D;C;E;B;E;B;D;D;E;B;C;E;E;A;E;B;C;B;A;B;A;A;C;A;E;C;A
020.3102.240-101;D;C;B;B;D;A;B;D;B;A;C;D;E;D;C;A;B;A;A;E;E;C;A;E;B;B;A;B;B;C;C;C;C;C;A;B;B;E;A;A;D;B;E;B;B;B;C;D;B;A;D;D;B;C;C;D;B;D;E;D
840.191.371-45;A;B;C;A;E;C;C;D;D;C;D;B;C;D;A;E;C;E;C;A;B;B;D;E;E;D;A;D;C;A;A;A;B;E;C;E;E;D;E;E;B;B;C;D;B;E;C;B;C;C;B;C;B;B;E;B;E;D;A;E
924.364.635-79;A;D;B;B;B;D;C;B;E;B;C;E;A;B;A;D;A;A;B;A;D;B;C;B;D;E;D;A;E;C;A;B;A;E;C;A;A;B;C;D;B;E;C;E;B;E;D;A;E;E;E;B;E;C;C;D;A;D;C;E
818.1095.1021-85;D;D;C;B;E;C;D;D;C;C;E;C;A;D;C;E;C;C;A;E;D;B;C;D;A;B;A;D;C;A;B;E;D;E;C;C;A;C;C;D;E;C;B;B;E;C;A;B;C;B;D;E;C;D;D;C;B;B;B;D
935.788.418-1010;A;A;C;D;B;B;A;D;B;B;D;A;B;D;C;D;C;E;D;E;E;D;E;C;E;B;B;C;D;A;E;A;D;B;D;E;B;A;C;C;D;E;A;A;B;E;A;B;B;A;A;A;E;A;A;E;B;D;C;B
1050.541.291-65;A;D;B;C;A;E;A;D;C;E;B;E;C;A;B;A;B;C;E;D;C;E;E;A;E;E;C;D;D;E;A;D;D;D;E;E;A;C;C;C;A;D;E;C;E;C;E;B;E;C;C;E;E;C;E;B;B;B;B;E
345.357.181-63;C;D;D;D;A;D;A;B;B;C;D;E;C;C;B;A;B;D;C;A;D;D;A;A;C;B;A;C;B;B;D;E;C;E;B;D;C;C;B;C;C;D;B;B;C;C;C;A;A;C;A;C;B;E;D;C;A;D;A;C
498.423.478-74;C;B;A;C;C;A;C;A;B;A;B;D;C;D;A;C;B;B;A;C;B;A;E;A;A;D;B;D;B;B;B;B;E;A;D;B;A;B;E;C;A;E;D;A;E;A;E;D;E;C;C;E;C;A;E;D;C;C;A;E
381.873.631-61;C;B;A;D;C;C;B;E;E;E;A;C;A;C;B;C;D;C;B;E;A;E;B;B;D;C;E;A;D;A;A;E;B;B;A;D;C;D;A;B;C;C;E;C;E;A;B;B;B;D;E;E;E;C;D;E;E;E;B;C
1088.623.545-15;D;D;C;E;C;A;B;A;D;E;E;E;C;C;A;E;D;B;E;B;E;B;C;A;E;B;A;D;A;E;C;B;D;D;D;C;D;D;C;A;D;E;C;D;D;A;B;A;D;D;D;E;B;C;E;D;D;D;A;D
6310.891.742-49;D;D;B;C;C;E;D;C;B;A;E;A;B;D;B;D;A;A;E;E;D;D;B;E;D;E;B;C;E;E;B;B;D;D;A;B;A;B;B;A;C;A;A;A;C;D;B;D;D;D;C;D;D;A;B;E;D;E;C;B
493.1047.216-26;B;D;A;E;D;B;D;E;C;B;D;D;C;B;C;C;E;E;A;D;C;E;B;D;B;D;D;E;E;C;C;E;A;D;B;B;B;E;C;E;D;B;B;D;B;A;C;A;E;C;D;D;D;B;D;C;D;C;B;D
